"eng__001","eng__002","eng__003","eng__004","afr__001","afr__002","afr__003","zul__001","zul__002","zul__003","xho__001","xho__002","xho__003","ssw__001","ssw__002","ssw__003","ssw__004","ssw__005","nde__001","nde__002","nde__003","nde__004","tsn__001","tsn__002","tsn__003","tsn__004","tsn__005","nso__001","nso__002","nso__003","sot__001","sot__002","ven__001","ven__002","ven__003","tso__001","tso__002","tso__003","tso__004"
"annual financial statement","","","","finansiële jaarstaat","","","isitatimende sezezimali sonyaka","","","inkcazo-mali yonyaka","","","sitatimendetimali semnyaka","","","","","isitatimende seemali somnyaka","umbiko weemali womnyaka","","","tshupatlotlo ya ngwaga","","","","","setatamente sa ngwaga ka ngwaga sa ditšhelete","","","seteitemente sa ditjhelete sa selemo le selemo","","tshitatamennde tsha masheleni tsha ṅwaha","","","xitatimende xa swa timali xa lembe na lembe","","",""
"annuitant","","","","annuïtant","","","umhlomuli","umtholi wemali ebitshaliwe","","umamkeli wentlawulo-mali ngezavenge","","","umemukeli wenzuzolusisomali","","","","","umamukelimbadalo wesisomali","umamukelimbadalo we-anyuwithi","","","moatswiwa","moamogelakatso","","","","anyuithente","moamogedi wa anyuithi","","moamohedi wa anuithi","anuithente","muvhuelwa","","","muamukelamalimbekisoxilembe","","",""
"annuity","","","","annuïteit","","","umhlomulozikhathi","utshalomali olukhokhela ngeminyaka","","iintlawulo-mali ngezavenge","","","inkhokhelo yenzuzolusisomali","","","","","imbadalo yesisomali","i-anyuwithi","","","madikatsotshireletso","anyuithi","madikatsoinšorense","","","anyuithi","","","letsete le behetsweng nako","anuithi","anyuwithi","","","malimbekisoxilembe","","",""
"applied status {financial services provider}","","","","aansoekstatus","oorwegingstatus","","isigaba sokokungakagunyazwa","","","isicelo esikwingqwalasela","","","simo lesisengakagunyatwa","","","","","ubujamo obungakabukugunyazwa","","","","kemokopokwadiso","","","","","maemo a go emela tumelelo","","","boleti ba tumello","","tshiimo tshi sa athu u tendelwa","bindo tshaya thendelo","","xiyimonkampfumelelo","","",""
"apportionment {dividends}","","","","toedeling","","","ukwabiwa","","","ulwabiwo","","","lwabiwontalo","","","","","isabelongezelelo","","","","kabo","karolelo","karolelokabo","","","kabaganyo","","","kabo","","mbadelamikovhe","","","swiave","","",""
"appreciation","","","","appresiasie","","","ukunyuka kwenanibungako","","","unyuko-maxabiso","ukukhuphuka kwentsengo","","kwenyuka kwebungakomali","kukhuphuka kwemandla emali","kwenyuka kwentsengo","","","ukwenyuka kwamandla wemali","ukwenyuka kwamandla wepahla","","","koketsegoboleng","kgoloboleng","","","","kgolo ka boleng","kgolo ka theko","","keketseho","kgolo","vhugonyandeme","","","engeteleko wa nxavo","engeteleko wa nkoka","",""
"asset allocation","","","","batetoewysing","","","ukwabiwa kwempahla","ukwabiwa kwengcebo","","ulwabiwo lwee-asethi","","","lwabiwolusiso","","","","","ukwabiwa kwepahla","","","","kabothoto","","","","","kabaganyo ya dithoto","","","kabo ya thepa","","vhubindudzi ho phaḓaladzwaho","","","nkavelonhundzu","nkavelorifuwo","",""
"asset manager","","","","batebestuurder","","","umphathi wempahla","imenenja yempahla","","umlawuli wotyalo-mali","umlawuli wee-asethi","","umlawulilusiso","","","","","umlawulimasiso","","","","molaolathoto","","","","","molaodi wa letlotlo","","","molaodi wa thepa","","mulanguli wa thundu","mulanguli wa ndaka","","mulawulanhundzu","mulawularifuwo","",""
"assignee","","","","regverkrygende","","","owabelwe","","","ugunyaziwe","","","umabelwa","","","","","umzuzi","umdlalifa","umhlomuli","","moabelwa","mokwadiswa","","","","moabelwathoto","","","moabelwatokelo","","muṋekedzwa","","","muhundziseriwa","munyikiwa","",""
"attorney-in-fact","","","","gevolmagtigde prokureur","","","ummeli ogunyaziwe","","","ugunyaziwe","","","ummeleli logunyatiwe","","","","","umjameligqwetha","","","","moemelammueledi","","","","","moemedi wa semolao","","","moemelammuelli","","ramilayo muṋekedzwa","","","muyimerixinawu wa swa bindzu","","",""
"authorisation","","","","magtiging","","","ukugunyaza","","","ugunyaziso","","","ligunya","imvumo","","","","igunya","","","","tumelelo","tetlelelo","","","","tumelelo","","","tumello","","thendelo","","","mpfumelelo","","",""
"balloon payment","","","","ballonbetaling","","","inkokhelosigcino eyisigaxa","inkokhelo eyibhaluni","","intlawulo ebekelwe bucala","","","inkhokhelo lelengisiwe","","","","","imbadalo elengisiweko","","","","tuelotshalelo","tuelobaluni","","","","tefelopalune","tefelotšhaledi","","tefo ya balune","","mbadelophahewa","","","hakeloxibaluni","ntsengokulu wo hetisa xikweleti","",""
"bank details {of an individual}","banking details","","","bankbesonderhede","","","imininingwane yasebhange","","","iinkcukacha zebhanki","","","imininingwane yasebhange","","","","","imininingwana yebhanga","","","","dintlhapoloko","dintlhapanko","","","","tshedimošo ka ga mopanki","","","dintlha tsa mobanki","","zwidodombedzwa zwa u bannga","","","vuxokoxoko bya bangi","vuxokoxoko bya banki","",""
"bankruptcy <compare solvency> {a legal procedure}","","","","bankrotskap","","","ukucwila ezikweletini","","","ukuntyumpantyumpeka ematyaleni","","","kuncwila etikweletini","kushona","","","","ukutjhona","umtjhono","","","phutlhamo","khumanego","","","","pankoroto","go wa","","botjhoni","","vhuwa","","","nchono","","",""
"basic excess","","","","basiese bybetaling","","","inhlangabezozindleko eyisisekelo","","","intlawulelo-bango esisiseko","i-eksesi esisiseko","","inhlawulosisekelo","inhlawulo lebekiwe","","","","inaningezelelo elisisekelo","","","","phetisotheo","","","","","tefelotlaleletšo ya motheo","","","eksese ya motheo","","mbadelonyengedzedzwa ya mutheo","","","hakeloengetelo ya masungulo","","",""
"beneficiary","","","","begunstigde","","","umhlomuli","","","umxhamli","","","umzuzi","lositakalako","umhlomuli","","","umzuzi","umhlomuli","","","mojaboswa","mojalefa","moungwelwa","moamogeladitshiamelo","","mojalefa","","","mojalefa","tjamafa","muḽaifa","","","mudyandzhaka","muvuyeriwa","",""
"beneficiary fund","","","","begunstigdefonds","","","isikhwama sabahlomuli","","","ingxowa-mali yabaxhamli","","","sikhwama sebazuzi","sikhwama salabasitakalako","sikhwama sebahlomuli","","","isikhwama sabazuzi","isikhwama sabahlomuli","","","letlotle la mojaboswa","letlotle la moungwelwa","letlotle la mojalefa","letlotle la moamogeladitshiamelo","","sekhwama sa bajalefa","","","letlole la bajalefa","letlole la botjamafa","tshikwama tsha muḽaifa","","","nkwama wa vadyandzhaka","nkwama wa vavuyeriwa","",""
"benefit <n.>","","","","voordeel","","","umhlomulo","","","uxhamlo","","","inzuzo","","","","","inzuzo","umhlomulo","","","kungwelo","","","","","tefelokholego","penefiti","","kuno","","mbuelo","ifa","","mpfuno","mbuyelo","",""
"benefit statement","","","","voordelestaat","","","isitatimende somhlomulo","","","inkcazo-mali yomhlala-phantsi","","","sitatimende senzuzo","","","","","isitatimende senzuzo","isitatimende somhlomulo","","","tshupakungwelo","tshupatshiamelo","","","","setatamente sa penefiti","setatamente sa tefelokholego","","seiteitemente sa kuno","","tshitatamennde tsha mbuelo","","","xitatimende xa mpfuno","xitatimende xa mbuyelo","",""
"bequest <n.>","","","","bemaking","erflating","","ukwaba","","","ukuyolela","","","kwaba lifa","","","","","ukwabiwa kwelifa","ukudluliswa kwelifa","","","kaboboswa","kabolefa","","","","kabo ya lefa","","","kabo ya lefa","","vhuṋeathundu","vhuṋeandaka","","nkavelondzhaka","","",""
"betterment","","","","verbetering","","","ukuphucula","","","ukuphila ngcono","ukuphucuka","","kutfutfukiswa ngumshwalensi","","","","","ukuphila ngcono","","","","tokafalelo","","","","","kaonafatšo","kaonafalo","","ntlafalo bophelong","","khwiniso","","","vuantswiso","","",""
"book value <Seldom used> <see net asset value>","","","","boekwaarde","bw","","inanibungako ngokwebhuku","","","ixabiso lentengo","","","intsengo yangaleso sikhatsi","","","","","intengo yangesikhatheso","","","","bolengtheko","","","","","boleng bja thekišo","","","boleng ba thepa","","ndeme ya thundu","ndeme ya ndaka","","nkungo ku ya hi buku","","",""
"bribery","","","","omkopery","","","ukugwaza","","","ukunyoba","","","kufumbatsisa","kudiza","","","","ukufumbathisa","","","","tšotšo","katsophaposo","","","","pipamolomo","letsogo le kobong","šunya","tjotjo","","tshanḓanguvhoni","mvalamulomo","","vupfalanomu","vusivanomu","",""
"broker {business}","","","","makelaar","","","umxhumanisikuhwebelana","ibhrokha","","unozakuzaku worhwebo","ibhrowukha yorhwebo","","umchumanisikuhwebelana","umsitikuhwebelana","ibhrokha","","","umsebenzeli kezerhwebo","ibhrowukha","","","mogwebisi","","","","","poroukhara","poroukha","","broukara","","zhendedzi","","","muhlanganyetanxaviselano","muburokara","",""
"brokerage fee","","","","makelaarsgeld","","","isibizo somxhumanisikuhwebelana","","","intlawulo yomrhwebi ongunozakuzaku","intlawulo yebhrowukha","","imali yemchumanisikuhwebelana","","","","","imbadalo yomsebenzeli kwezerhwebo","imbadalo yebhrowukha","","","tefelokgwebiso","tuelokgwebiso","","","","tefelo ya bommaditsela","","","tefiso ya broukara","","mbadelo ya zhendedzi","","","hakelo ya swa vuhlanganyetanxaviselano","hakelo ya swa vuburokara","",""
"brokerage firm","brokerage company","broking firm","","makelaarsfirma","","","ifemu yabaxhumanisikuhwebelana","","","ishishini lozakuzo kurhwebo","","","inkampani yebachumanisikuhwebelana","","","","","ikhampani yabasebenzeli kezerhwebo","ikhampani yabafunelimsebenzi","","","setheokgwebiso","","","","","feme ya bommaditsela","","","feme ya dibroukara","","feme ya zhendedzi","","","feme ya swa vuhlanganyetanxaviselano","feme ya swa vuburokara","",""
"business transaction","","","","saketransaksie","besigheidstransaksie","","ukuhwebelana kwezamabhizinisi","","","intengiselwano","unaniselwano","","kutsengiselana","","","","","ukuthengiselana","intengiselwano","","","kgwebisano","thekisetsano","","","","thekišetšano","","","kgwebisano","","thengiselano ya vhubindudzi","","","nxaviselanoxibindzu","","",""
"call deposit account","","","","daggelddepositorekening","","","i-akhawunti yotshalomali","","","i-akhawunti yotyalo-mali","i-call deposit account","","i-akhawunti leyinhlanganisela lenenzuzo","","","","","i-akhawundi emvangombili","","","","tshupatlotlopeeletso","akhaontepeeletso","","","","akhaonte ya tšheke ya kopanelapeeletšo","","","akhaonte ya matsete le dipeheletso","","akhaunthu ya diphosithi na mbulungo","","","akhawunti yo vekisa","","",""
"capital disability benefit","","","","kapitaalongeskiktheidsvoordeel","","","umhlomulo wokukhubazeka","","","i-inshorensi yokhubazeko","","","inzuzomali yekukhubateka","","","","","isizumbulu senzuzo yokukhubazeka","isizumbulu somhlomulo wokukhubazeka","","","inšorensekungwelogole","","","","","tefelokholego ya bogolofadi","penefiti ya bogolofadi ka khepetlele","","kuno ya boqhwala","","mbuelo ya vhuholefhali ya masheleni","","","mpfuneto wa vutsoniwa wa xumakulu","mbuyelo wa vutsoniwa wa xumakulu","",""
"capital gains tax","","","","kapitaalwinsbelasting","KWB","","intela yenzuzo","","","irhafu kwinzuzo yentengiso yepropati","","","umtselonzuzo walokutsengisiwe","","","","","umthelo wenzuzo yepahla","","","","lekgethokoketsegotlole","","","","","motšhelo wa dipoelo tša letlotlo","motšhelo wa dipoelo tša khepetlele","","lekgetho la kuno ya khapitale","","muthelo wa mbuelo ya masheleni","","","xibalo xa vubindzuri bya xumakulu","","",""
"capital growth","","","","kapitaalgroei","kapitaalaanwas","","ukukhula kwemali yebhizinisi","","","ukuhluma kwenkunzi","","","kukhula kwelinanimphahla","kwenyuka kwelinanimphahla","","","","ukukhula kobungako bepahla","","","","kgolotlole","","","","","kgolo ya letlotlo","kgolo ya khepetlele","","kgolo ya khapitale","","nyaluwo ya ndeme ya thundu","nyaluwo ya ndeme ya ndaka","","nkulo wa nkoka wa nhundzu","nkulo wa nkoka wa vuvekisi","",""
"car finance","vehicle finance","motor vehicle finance","motor finance","motorfinansiering","","","imalimboleko yokuthenga imoto","","","imali-mboleko yemoto","","","sikweleti semoti","","","","","imalimboleko yemodoro","imalimboleko yemodere","imalimboleko yekoloyi","","tuelelokoloi","","","","","kadimo ya mašeleng a go reka koloi","","","kadimo ya ho reka koloi","","khadzimiso ya masheleni a u renga goloi","masheleni a goloi","","xikweleti xo xava movha","","",""
"car insurance","vehicle insurance","","","motorversekering","","","umshwalense wemoto","","","i-inshorensi yemoto","","","umshwalensi wemoti","","","","","itjhorensi yemodoro","itjhorensi yemodere","itjhorensi yekoloyi","","tshireletsokoloi","inšorensekoloi","","","","inišorentshe ya koloi","inšorentshe","","inshorense ya koloi","","ndindakhombo ya goloi","","","ndzindzakhombo wa movha","","",""
"cash-back bonus","","","","kontantterugbonus","","","ibhonasi yokubuyiselwa imali","","","ibhonasi kwi-inshorensi","","","umhlomulo wekungafaki sibitinkhokhelo","ibhonasi yekungafaki ikleyimu","","","","ibhonasi yokubuyiselwa imali","","","","bonasepoelomadi","","","","","ponase ya pušetšo ya tšhelete","","","bonase ya pusetso ya tjhelete","","bonasi ya mbuiselo ya masheleni","","","bonasi yo vuyisela mali","","",""
"cash transfer","","","","kontantoorplasing","","","ukudlulisa imali","","","udluliselo-mali","","","lundlulisomali","","","","","idluliselomali","","","","phetisomadi","","","","","phetišetšo ya mašeleng","","","tsamaiso ya tjhelete","","phirisamasheleni","vhupfukisamasheleni","","vuhundziselomali","","",""
"cash withdrawal {policy or annuity}","","","","kontantonttrekking","","","ukukhipha imali","","","ukutsala imali","","","kukhipha imali","","","","","ukukhupha imali","","","","kgogomadi","","","","","go ntšha tšhelete","","","kgulo ya tjhelete","","vhubvisamasheleni","","","ku humesa mali","","",""
"cellphone banking","mobile banking","","","selfoonbanksake doen","selfoonbanktransaksies doen","","ukubhenka ngomakhalekhukhwini","ukubhenka ngeselula","","ukubhankisha ngeselula","","","lubhangomakhalekhikhini","kubhanga ngeselula","","","","ukuzenzela imisebenzi yebhanga ngeselula","ukusebenza iimali zebhanga ngeselula","","","polokoselefounu","pankoselefounu","","","","go panka ka selefouno","","","ho banka ka selefounu","","vhubannga nga luṱingokhwalwa","vhubannga nga luṱingothendeleki","","ku banka hi selefoni","ku banga hi selefoni","ku banka hi marilanyongeni","ku banga hi marilanyongeni"
"chartered accountant","CA","","","geoktrooieerde rekenmeester","GR","","umhlelimabhuku ezimali","umhlelimabhuku ogunyaziwe","","ingcali kucwangciso-zimali","","","ingcweti yekucwaninga emabhuku","","","","","umcozululiincwadi zeemali ogunyaziweko","","","","sebalatlotlo","","","","","tšhathathe akhaonthente","","","tjhatate akhaontente","","muḓivhi wa zwa masheleni","","","xitivinkulu xa tinkota","","",""
"claim <n.>","","","","eis","","","isicelonkokhelo","","","ibango","","","sibito","sibitinkhokhelo","ikleyimu","","","itleyimu","","","","kopo","tleleimi","topo","","","tleleime","","","tleleimi","","mbilo","","","xikoxo","","",""
"claim process","","","","eisproses","","","inqubo yesicelonkokhelo","","","inkqubo yokwenza ibango","","","inchubo yesibito","inchubo yesibitinkhokhelo","inchubo yekukleyima","","","indlelakambiso yokutleyima","","","","tsamaisokopo","tsamaisotleleimi","tiregokopo","tiregotopo","tsamaisotopo","tshepedišo ya tleleime","","","motjha wa tleleimi","","maitele a mbilo","","","nhlahluvo wa xikoxo","","",""
"clause {contract}","","","","klousule","","","indima","","","isolotya","igatya","","sigatjana","","","","","indinyana","","","","polelwanamolao","","","","","temana ya molao","","","polelwana ya molao","","kudayo","","","xinawana","","",""
"client","","","","kliënt","","","ikhasimende","iklayenti","","umxumi","umxhasi","iklayenti","liklayenti","likhasitama","ummelwa","","","umthengi","itlayenti","ikhastama","","modirelwa","","","","","tlelaente","modirelwa","","mosebeletsuwa","tlelaente","mueledzwa","mueletshedzwa","","mupfuniwa","tlilayente","",""
"client-advisory record","CAR","","","kliëntadviesrekord","","","imininingwane yokwalulekwa kwekhasimende","imininingwane yokwalulekwa kweklayenti","","irekhodi yokucetyiswa komxumi","irekhodi yokucetyiswa komxhasi","irekhodi yokucetyiswa kweklayenti","lirekhodi lekwelulekwa kwelikhasitama","lirekhodi lekwelulekwa kwemmelwa","lirekhodi lekwelulekwa kwelikhasitamende","","","umtlolosivumelwano wokwelulekwa komthengi","","","","rekotobogakolodidirelwa","tshupakgakololodirelwa","","","","rekhoto ya boeletši ya modirelwa","rekhoto ya boeletši ya tlelaente","","rekoto ya boeletsi ba mosebeletsuwa","rekoto ya boeletsi ba tlelaente","rekhodo ya ngeletshedzo ya mueledzwa","rekhodo ya ngeletshedzo ya mueletshedzwa","","rhekhodo ya ntsundzuxo ya mupfuniwa","rhekhodo ya ntsundzuxo ya tlilayente","",""
"collateral","security","","","kollateraal","aanvullende sekuriteit","","isibambiso","","","isibambiso","","","sibambiso","","","","","isibambiso","","","","tlamothoto","","","","","kholatherale","tšhireletšo ka dithoto","","setshwariso","kholatherale","tshifarelamulandu","","","xikhomelanandzu","","",""
"collective investment scheme","unit trusts","CIS","","kollektiewe beleggingskema","KBS","","uhlelokonga imali ngokuhlanganyela","","","inkqubo yotyalo-mali ngokuhlanganyela","","","luhlelokonga loluhlanganyelwe","","","","","ijima lesisomali","ilima lesisomali","","","sekematsadisotlhakanelo","","","","","sekimo sa peeletšo sa mohlakanelwa","","","sekimi sa pokello ya matsete","","tshikimu tsha vhubindudzi ha muṱanganelano","","","xikimivuvekisi xa nhlanganelo","","",""
"commercial use","","","","handelsgebruik","kommersiële gebruik","","ukusetshenziselwa ukuhweba","","","ukusetyenziselwa ushishino","","","kusebentisela kuhweba","","","","","ukusetjenziselwa ukurhweba","","","","tirisetsokgwebo","","","","","tšhomišetšo ya kgwebo","","","tshebedisetso ya kgwebo","","tshumiso ya vhubindudzi","","","ntirhiselovubindzurisi","ntirhiselobindzu","",""
"complainant","","","","klaer","klaagster","","ummangali","","","ummangali","","","ummangali","umfakisikhalo","","","","ummangali","","","","mongongoregi","moledi","","","","mongongoregi","molli","","motletlebi","mmelaedi","muhweleli","muvhilaeli","","muvileri","murili","mumangari",""
"compliance","","","","voldoening","nakoming","","ukulandela","ukuthobela","","uthobelo-mthetho","","","kutfobela","kulandzela","","","","ukuthobela","","","","kobamelo","","","","","kobamelo","","","ho ikobela molao","ho ikamahanya le molao","vhutevhedzi","","","vulandzelelanawu","","",""
"compliance officer","CO","","","voldoeningsbeampte","nakomingsbeampte","","obhekelela ezokuthobela umthetho","obhekelela ezokuthotshelwa komthetho","","igosa lothobelo-mthetho","","","lesibukene","sisebenti lesibukeke nekulandzelwa kwemtsetfo","","","","isiphathiswa sokuthotjelwa komthetho","","","","motlhankelelakobamelo","motlhankedikobamelo","","","","mohlankedi wa tša kobamelo","moofisiri wa tša kobamelo","","ofisiri ya tsa boikahamanyo le molao","","muofisiri wa vhutevhedzi","","","mulandzelerisanawu","","",""
"comprehensive insurance {car insurance}","comprehensive cover","","","omvattende versekering","","","umshwalense odidiyelwe","","","i-inshorensi ebalulayo","","","umshwalensi wemoti lofaka konkhe","","","","","itjhorensi ebhadalela koke","","","","inšorensekakaretso","","","","","inišorentshe ya go akaretša","inšorentshe ya go akaretša","","inshorense e akaretsang","","ndindakhombonyangaredzo","","","ndzindzakhomboangarhelo","","",""
"concealment","","","","verswyging","","","ukugodla iqiniso","","","ukukhohlisa","","","kufihla","","","","","ukufihla","","","","go fitlha","phitlho","","","","phihlo","khutišo","","ho pata nnete","","nzumbetshedzo","","","vutumbetantiyiso","","",""
"conditions","","","","voorwaardes","","","imibandela","","","imiqathango","","","imibandzela","","","","","imibandela","","","","dipeelo","","","","","dipeelano","dikwanelo","","dipehelo","","nyimele","","","swipimelo","","",""
"consequential loss","","","","gevolglike verlies","voortvloeiende verlies","","ukulahlekelwa ngenxa yokuthile","","","ilahleko edalwa yenye","","","kulahlekelwansombo","","","","","ukonakalelwa ngebanga lokungeqadi","","","","tatlhegelo-ka-ditlamorago","","","","","tshenyagalelo go ya ka ditlamorago","","","tshenyehelo ka lebaka lesele","","ndozwophambananandivho","","","ndzahlekeriwo hikwalaho ka switandzhakunkandzindzakhombo","onhakeriwo hikwalaho ka switandzhakunkandzindzakhombo","",""
"contingency allowance","","","","gebeurlikheidstoelae","","","imali yezimo ezingalindelekile","imali yezehlo","","imali ebekelwe okunokwehla","","","imali legadze lokungahle kwenteke","imali yemkhuhlane","imali legadze ingoti","","","imali egade isimetjhe","imali egade okungavela","imali egade okungenzeka","","letloletshoganyetso","madidisalebelelwang","","","","mašeleng a go beelwa tšeo di sa letelwago","","","tjhelete ya ditjeo tse sa lebellwang","","gavhelo ḽa ndindakhombo","","","mali ya xirindzamhangu","","",""
"contractual agreement {e.g. tax act}","","","","kontraktuele ooreenkoms","kontrakooreenkoms","","isivumelwano senkontileka","","","isibophelelo","","","sivumelwano lesinesibopho","","","","","isibophelelo","isivumelwano esibophelelako","","","tumelanoitlamo","","","","","tumelelano ka konteraka","","","tumellano ya molao","","thendelano ya khontraka","","","ntwanano lowu bohaka","","",""
"cooling-off period","","","","afkoeltydperk","","","isikhathi sokucabangisisa","","","ixesha lokuzikisa kwintengiselwano","inyoba yokuzikisa kwintengiselwano","","sikhatsi sekucabanga ngesincumo","","","","","isikhathi sokuzihlunga","isikhathi sokuzifunisisa","","","pakatharabologelo","pakainagano","","","","nako ya go inagana","nako ya go ikgopola","","nako ya boinahano","","tshifhinga tsha u ḓihumbula","","","nkarhi wo tiehleketa","","",""
"cover","coverage","","","dekking","","","ikhava","umshwalense","","ikhava","","","ikhava","","","","","ikhava","","","","tshireletso","","","","","tšhireletšo","","","tshireletso","","ndindakhombo","","","nsirhelelo","","",""
"credit account","","","","kredietrekening","","","i-akhawunti yesikweletu","","","i-akhawunti yetyala","i-akhawunti yesikweliti","i-akhawunti yekhredithi","i-akhawunti yekutsenga ngesikweleti","","","","","i-akhawundi yesikolodo","i-akhawundi yesikwelede","","","akhaontelato","akhaontekoloto","","","","akhaonte ya mokitlana","akhaonte ya sekoloto","","akhaonte ya mokitlane","akhaonte ya sekoloto","akhaunthu ya khredithi","","","akhawunti ya xikweleti","","",""
"credit agreement","","","","kredietooreenkoms","","","isivumelwano sesikweletu","","","isivumelwano setyala","isivumelwano sesikweliti","","sivumelwanosikweleti","","","","","isivumelwano sokubhadala isikolodo","isivumelwano sokubhadala isikwelede","","","tumelanolato","tumelanokoloto","","","","tumelelano ya mokitlana","tumelelano ya sekoloto","","tumellano ya mokitlane","tumellano ya krediti","thendelano ya khredithi","","","ntwanano wa xikweleti","","",""
"credit bureau","","","","kredietburo","","","uphiko olugcina imininingwane yabathengi","","","ibhunga logcino-zinkcukacha zabathengi","","","sikhungomininingwane yebatsengi","i-credit bureau","inkampanimininingwane yebatsengi","","","iziko leenkolodo","iziko leenkwelede","","","birolato","birokoloto","","","","piroo ya dikoloto","piroo ya mekitlana","","biro ya mekitlane","biro ya krediti","birou ya zwikolodo","","","byuro ya swikweleti","","",""
